Zip_Code,Phone,Online
37013,17841.0,7686.0
37211,16386.0,8244.0
37209,14285.0,8649.0
37207,13943.0,4928.0
37206,12714.0,7289.0
37208,10067.0,6811.0
37115,9710.0,4270.0
37214,9383.0,4055.0
37205,8957.0,3594.0
37217,8212.0,2844.0
37216,7625.0,3338.0
37215,7578.0,3396.0
37218,6672.0,1435.0
37210,6633.0,3394.0
37203,6361.0,5247.0
37204,5517.0,2719.0
37212,5203.0,3560.0
37076,3052.0,2513.0
37221,2867.0,1679.0
37027,2439.0,996.0
37220,1868.0,738.0
37138,1600.0,1141.0
37201,1389.0,1072.0
37072,1154.0,583.0
37189,1090.0,316.0
37219,724.0,1893.0
37080,694.0,249.0
37213,371.0,321.0
37228,337.0,237.0
37015,91.0,71.0
